Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
D21 Motors | CAOA Chery,YELLOW MOUNTAIN DISTRIBUIDORA DE VEICULOS LTDA,29.402.622/0001-28,"309,011,998.00",100 milhões – 1 bilhão,"Comércio a varejo de automóveis, camionetas e utilitários novos",465,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Cooperativas de crédito mútuo,1,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,1
Smart Fit,SMARTFIT ESCOLA DE GINASTICA E DANCA S.A,07.594.978/0001-78,"3,147,667,884.00",Acima de 1 bilhão,Atividades de condicionamento físico,12198,+10000,São Paulo,[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Education and Training'],"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis",1,"Comercio varejista de artigos de cama, mesa e banho",1
ZAMP,ZAMP S.A.,13.574.594/0001-96,"1,911,068,419.57",Acima de 1 bilhão,"Lanchonetes, casas de chá, de sucos e similares",10358,+10000,Barueri,[{'job_industry_list': {'industry': 'Restaurants'}}],['Other'],Comércio varejista de livros,1,Fabricação de refrigerantes,1
Casamax,CASAMAX COMERCIAL E SERVICOS LTDA,08.183.516/0001-20,"18,364,415.00",10 – 100 milhões,Comércio varejista de materiais de construção em geral,457,201–500,"Suzano, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],['Management and Manufacturing'],Serviços de reservas e outros serviços de turismo não especificados anteriormente,3,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",1
Draft Solutions,DRAFT SOLUTIONS CONSULTORIA LTDA,06.315.198/0001-89,"2,100,000.00",1 – 10 milhões,Serviços de engenharia,241,201–500,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Engineering Services'}}],['Management and Manufacturing'],Treinamento em desenvolvimento profissional e gerencial,4,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",1
VemKiTem,VEMKITEM COMERCIO DE UTILIDADES LTDA,09.368.337/0001-20,"8,000.00",Até 100 mil,********,179,51–200,,[{'job_industry_list': {'industry': 'Retail'}}],['Administrative'],"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",2,Atividade médica ambulatorial com recursos para realização de exames complementares,1
Partage Malls,PARTAGE ADMINISTRACAO DE SHOPPING CENTER LTDA.,09.324.208/0001-30,"24,596,727.00",10 – 100 milhões,Gestão e administração da propriedade imobiliária,470,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Fabricação de embalagens metálicas,1,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",1
Intelipost,INTELIPOST CONSULTORIA E TECNOLOGIA DE LOGISTICA LTDA,19.337.462/0001-27,"115,246,871.00",100 milhões – 1 bilhão,Consultoria em tecnologia da informação,254,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],"Agenciamento de espaços para publicidade, exceto em veículos de comunicação",3,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,1
Jüssi,JUSSI INTENTION MARKETING LTDA.,11.465.216/0001-49,"50,000.00",Até 100 mil,Agências de publicidade,299,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Advertising'],"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",2,Cooperativas de crédito mútuo,1
Tributo Justo Oficial,"TRIBUTO JUSTO - TECNOLOGIA, CONSULTORIA E AUDITORIA TRIBUTARIA LTDA",51.979.018/0001-18,"100,000.00",Até 100 mil,Atividades de consultoria e auditoria contábil e tributária,130,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Design'}}],"['Design, Art/Creative, and Information Technology']","Produção de laminados longos de aço, exceto tubos",1,"Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis",1
Sou SERAC,CARDWAY HOLDING S.A.,50.475.622/0001-44,"31,824,815.48",10 – 100 milhões,Holdings de instituições não-financeiras,160,51–200,"Santana, São Paulo",[{'job_industry_list': {'industry': 'Accounting'}}],"['Design, Art/Creative, and Information Technology']",Outras obras de instalações em construções não especificadas anteriormente,1,Comércio varejista de livros,1
Cardway,SOLARGRID ENERGIA SOLAR COMERCIO E SERVICOS LTDA,21.481.886/0001-02,"7,200,000.00",1 – 10 milhões,Comércio varejista de outros produtos não especificados anteriormente,211,201–500,,[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",1,Fabricação de embalagens metálicas,1
Solar Grid,PASSARELLI ENGENHARIA E CONSTRUCAO LTDA.,60.625.829/0001-01,"58,378,065.50",10 – 100 milhões,Outras obras de engenharia civil não especificadas anteriormente,392,201–500,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other'],"Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios",1,"Produção de laminados longos de aço, exceto tubos",1
Passarelli,COOP - COOPERATIVA DE CONSUMO,57.508.426/0001-78,0,Até 100 mil,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",1188,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Construction'}}],['Other'],Bolsa de mercadorias e futuros,1,Outras obras de instalações em construções não especificadas anteriormente,1
Coop - Consumer Cooperative,LEME INTELIGENCIA FORENSE E CONSULTORIA EMPRESARIAL LTDA,10.999.476/0001-31,"630,000.00",100 mil – 1 milhão,Serviços combinados de escritório e apoio administrativo,4418,1001-5000,"Santo André, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],Atividades associativas não especificadas anteriormente,1,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",1
LEME Inteligência Forense,FLORA PRODUTOS DE HIGIENE E LIMPEZA S.A,08.505.736/0001-23,"792,561,101.45",100 milhões – 1 bilhão,Fabricação de sabões e detergentes sintéticos,89,51–200,"Pinhais, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Administrative'],Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,1,"Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios",1
Flora,RAIO BENEFICIOS LTDA,49.854.823/0001-73,"1,000.00",Até 100 mil,"Emissão de vales-alimentação, vales-transporte e similares",2955,1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Manufacturing'}}],['Other'],"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",1,Bolsa de mercadorias e futuros,1
Onfly,ONFLY TECNOLOGIA LTDA,30.342.266/0001-83,"25,299,885.29",10 – 100 milhões,Agências de viagens,638,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],Organização logística do transporte de carga,1,Atividades associativas não especificadas anteriormente,1
VIC Engenharia,VIC ENGENHARIA S/A,12.086.678/0001-18,"21,200,000.00",10 – 100 milhões,Construção de edifícios,560,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Human Resources'],Administração de consórcios para aquisição de bens e direitos,2,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,1
"Cescon, Barrieu, Flesch & Barreto Advogados","CESCON, BARRIEU, FLESCH & BARRETO SOCIEDADE DE ADVOGADOS",02.520.543/0001-65,"619,650.00",100 mil – 1 milhão,Serviços advocatícios,641,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Law Practice'}}],['Legal'],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",1,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",1
Vellozia,VELLOZIA PRODUTOS HOSPITALARES LTDA,16.918.361/0001-51,"1,200,000.00",1 – 10 milhões,Comércio atacadista de medicamentos e drogas de uso humano,2,0–10,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Wholesale Recyclable Materials'}}],['Human Resources'],Distribuidoras de títulos e valores mobiliários,2,Organização logística do transporte de carga,1
Baru Offshore,BARU OFFSHORE NAVEGACAO LTDA.,14.426.327/0001-34,"152,100,505.00",100 milhões – 1 bilhão,Navegação de apoio marítimo,478,201–500,"Rio de Janeiro, RJ",[{'job_industry_list': {'industry': 'Oil and Gas'}}],['Other'],Edição de livros,1,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",1
ESSS,ENGINEERING SIMULATION AND SCIENTIFIC SOFTWARE LTDA,00.796.437/0001-83,"734,520.00",100 mil – 1 milhão,Serviços de engenharia,385,201–500,"Florianópolis, Santa Catarina",[{'job_industry_list': {'industry': 'Software Development'}}],['Business Development and Sales'],Atividade médica ambulatorial restrita a consultas,1,Edição de livros,1
Adias Sol.Ar.,A.DIAS SOLAR DISTRIBUIDORA MERCANTIL LTDA,05.951.301/0001-14,"720,000.00",100 mil – 1 milhão,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",284,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],Consultoria em publicidade,1,Atividade médica ambulatorial restrita a consultas,1
HSI,HSI GESTORA DE FUNDOS IMOBILIARIOS LTDA,03.539.353/0001-52,"994,540.00",100 mil – 1 milhão,Atividades de administração de fundos por contrato ou comissão,213,201–500,São Paulo,[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other'],Atividades de reprodução humana assistida,1,Consultoria em publicidade,1
Ladeira Armarinhos,LADEIRA ARMARINHOS E ARTESANATOS LTDA,08.697.623/0001-77,"210,000.00",100 mil – 1 milhão,Comércio atacadista de artigos de armarinho,73,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Retail Art Supplies'}}],['Administrative'],Comércio varejista de artigos de colchoaria,1,Atividades de reprodução humana assistida,1
GOL Linhas Aéreas,GOL LINHAS AEREAS S.A.,07.575.651/0001-59,"6,947,111,041.38",Acima de 1 bilhão,Transporte aéreo de passageiros regular,15422,+10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Airlines and Aviation'}}],['Engineering and Information Technology'],Locação de automóveis sem condutor,1,Comércio varejista de artigos de colchoaria,1
Vollo Sports,VOLLO BRASIL ARTIGOS ESPORTIVOS LTDA,08.877.135/0001-41,"500,000.00",100 mil – 1 milhão,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,25,11–50,"Cotia, São Paulo",[{'job_industry_list': {'industry': 'Wholesale Recyclable Materials'}}],['Business Development and Sales'],Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,1,Locação de automóveis sem condutor,1
Autoconf,AUTOCONF SERVICOS PROCESSAMENTOS DE DADOS LTDA,32.385.639/0001-29,"10,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",63,51–200,"Curitiba, Parana",[{'job_industry_list': {'industry': 'Information Technology & Services'}}],['Other'],Atividades de apoio à extração de petróleo e gás natural,1,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,1
PagueVeloz,PAGUEVELOZ INSTITUICAO DE PAGAMENTO LTDA,03.816.413/0001-37,"6,200,000.00",1 – 10 milhões,Atividades de cobrança e informações cadastrais,302,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Financial Services'}}],['Information Technology'],Seleção e agenciamento de mão-de-obra,1,Atividades de apoio à extração de petróleo e gás natural,1
The Brooklyn Brothers,THE BROOKLYN BROTHERS LLC,23.703.314/0001-56,0,Até 100 mil,Holdings de instituições não-financeiras,112,51–200,"New York City, NY",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],['Human Resources'],Comércio varejista de artigos de óptica,1,Seleção e agenciamento de mão-de-obra,1
Intertechne,INTERTECHNE CONSULTORES S. A.,80.378.052/0001-35,"19,230,434.54",10 – 100 milhões,Serviços de engenharia,834,501–1000,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Engineering'],"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",1,Comércio varejista de artigos de óptica,1
SuperSim,SUPERSIM ANALISE DE DADOS E CORRESPONDENTE BANCARIO LTDA.,NÃO ENCONTRADO,"45,000,000.00",10 – 100 milhões,Correspondentes de instituições financeiras,259,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Banking'}}],['Other'],"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",1,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",1
ETAPA Educacional,ETAPA EDUCACIONAL LTDA,52.167.236/0001-10,"61,925,730.00",10 – 100 milhões,Ensino médio,826,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],"['Design, Art/Creative, and Information Technology']","Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",1,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",1
GoodStorage,GOODSTORAGE HOLDING PARTICIPACOES S.A.,18.897.459/0001-03,"300,193,687.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,138,51–200,São Paulo,[{'job_industry_list': {'industry': 'Real Estate'}}],['Other'],Comércio varejista especializado de equipamentos de telefonia e comunicação,2,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",1
MGITECH,"MGITECH COMERCIO, IMPORTACAO E EXPORTACAO LTDA",17.590.881/0001-40,"10,000,000.00",1 – 10 milhões,Comércio atacadista de equipamentos de informática,110,51–200,"Mogi das Cruzes, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",1,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",1
Insider Store,INSIDER COMERCIO E CONFECCAO DE PECAS DO VESTUARIO LTDA,26.520.188/0001-92,"40,000.00",Até 100 mil,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",197,51–200,São Paulo,[{'job_industry_list': {'industry': 'Retail Apparel and Fashion'}}],['Management and Manufacturing'],,,,
Agência Tupiniquim,TUPINIQUIM AGENCIA DE MARKETING DIGITAL LTDA,28.649.506/0001-45,"6,000.00",Até 100 mil,Marketing direto,37,11–50,São Paulo,[{'job_industry_list': {'industry': 'Advertising Services'}}],['Marketing'],,,,
PicPay,PICPAY INSTITUICAO DE PAGAMENTO S/A,22.896.431/0001-10,"3,359,504,217.01",Acima de 1 bilhão,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,6434,5001-10000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],"['Other', 'Research, Analyst, and Information Technology']",,,,
MM Invest AI,MM INVEST AI LTDA,42.315.636/0001-72,"1,000,000.00",100 mil – 1 milhão,Agentes de investimentos em aplicações financeiras,1,0–10,"São Paulo, 04046-500",[{'job_industry_list': {'industry': 'Online Audio and Video Media'}}],['Other'],,,,
Viveo,CM HOSPITALAR S.A.,12.420.164/0001-57,"2,549,392,366.31",Acima de 1 bilhão,Comércio atacadista de medicamentos e drogas de uso humano,5832,5001-10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],['Other'],,,,
CSN - Companhia Siderúrgica Nacional,COMPANHIA SIDERURGICA NACIONAL,33.042.730/0001-04,"10,240,000,000.00",Acima de 1 bilhão,"Produção de laminados planos de aço ao carbono, revestidos ou não",19084,+10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],['Other'],,,,
ALS,ALS LABORATORIOS LS LTDA.,67.641.696/0001-06,"6,390,490.00",1 – 10 milhões,Testes e análises técnicas,10698,+10000,"Milton, Queensland",[{'job_industry_list': {'industry': 'Consumer Services'}}],['Other'],,,,
Brasileirissima,BRASILEIRISSIMA INDUSTRIA E COMERCIO DO VESTUARIO LTDA,33.961.790/0001-20,"150,000.00",100 mil – 1 milhão,Comércio varejista de artigos do vestuário e acessórios,96,51–200,"SALVADOR, BAHIA",[{'job_industry_list': {'industry': 'Retail'}}],['Other'],,,,
EXAME,EXAME. LTDA.,34.906.443/0001-68,"285,500,000.00",100 milhões – 1 bilhão,Edição de revistas,969,501–1000,"São Paulo, SP","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}, {'job_industry_list': {'industry': 'Online Audio and Video Media'}}]",['Engineering and Information Technology'],,,,
Monte Bravo,MONTE BRAVO CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,50.489.148/0001-00,"151,500,000.00",100 milhões – 1 bilhão,Corretoras de títulos e valores mobiliários,512,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],"['Other', 'Sales and Business Development']",,,,
Distrito,DISTRITO TECNOLOGIA E SERVICOS S.A.,27.961.641/0001-69,"1,202,952.00",1 – 10 milhões,Gestão de ativos intangíveis não-financeiros,591,501–1000,"São Paulo, SP","[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Engineering and Information Technology'],,,,
Despegar,DECOLAR. COM LTDA.,03.563.689/0002-31,"708,183,802.00",100 milhões – 1 bilhão,Agências de viagens,4582,1001-5000,BVI,[{'job_industry_list': {'industry': 'Software Development'}}],['Sales and Business Development'],,,,
POLISHOP,POLIMPORT - COMERCIO E EXPORTACAO LTDA EM RECUPERACAO JUDICIAL,00.436.042/0047-52,"30,000,000.00",10 – 100 milhões,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,1934,1001-5000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development'],,,,
Chilli Beans Regional Sul,LUZ FRANQUIAS LTDA,10.614.426/0001-99,"22,811,494.00",10 – 100 milhões,Gestão de ativos intangíveis não-financeiros,7,0–10,,[{'job_industry_list': {'industry': 'Retail'}}],['Other'],,,,
TK Elevator,TK ELEVADORES BRASIL LTDA,90.347.840/0001-18,"259,606,766.00",100 milhões – 1 bilhão,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios",23108,+10000,"Düsseldorf, North Rhine-Westphalia","[{'job_industry_list': {'industry': 'Machinery Manufacturing'}}, {'job_industry_list': {'industry': 'Machinery Manufacturing, Facilities Services, and Construction'}}]",['Administrative'],,,,
TEKBOND Saint-Gobain,ATB INDUSTRIA E COMERCIO DE ADESIVO LTDA,08.425.051/0001-77,0,Até 100 mil,********,398,201–500,"Embú das Artes, São Paulo",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],['Human Resources'],,,,
Trust,TRUST S/A,51.401.816/0001-68,"3,160,000.00",1 – 10 milhões,"Outras sociedades de participação, exceto holdings",506,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],['Sales and Business Development'],,,,
SegMedic,SEG-MEDIC CENTRO MEDICO LTDA,01.475.178/0001-51,"50,761,481.00",10 – 100 milhões,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",198,51–200,"Nova Iguaçu, Rio de Janeiro","[{'job_industry_list': {'industry': 'Health, Wellness & Fitness'}}]",['Sales and Business Development'],,,,
Supermercado Nordestão,SUPERMERCADO NORDESTAO LTDA,08.030.363/0001-81,"70,476,938.00",10 – 100 milhões,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",3163,1001-5000,"Natal, Rio Grande do Norte",[{'job_industry_list': {'industry': 'Retail'}}],['Management and Manufacturing'],,,,
ORIBA,SHOULDER S.A.,43.470.566/0001-90,"19,036,404.20",10 – 100 milhões,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",154,51–200,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Retail Apparel and Fashion'}}],['Other'],,,,
NefroClínicas,NEFROCLINICAS - SERVICO DE NEFROLOGIA E DIALISE LTDA,32.257.409/0001-84,"510,000.00",100 mil – 1 milhão,Serviços de diálise e nefrologia,203,201–500,"Belo Horizonte, Minas Gerais","[{'job_industry_list': {'industry': 'Health, Wellness & Fitness'}}]",['Health Care Provider'],,,,
Coplan,COPLAN CONSTRUTORA PLANALTO LTDA,49.681.778/0001-00,"30,000,000.00",10 – 100 milhões,Construção de rodovias e ferrovias,179,51–200,"São Gonçalo, Rio de Janeiro",[{'job_industry_list': {'industry': 'Accounting'}}],['Other'],,,,
Construmarket,E-CONSTRUMARKET TECNOLOGIA E SERVICOS S.A.,03.706.177/0001-04,"11,566,000.00",10 – 100 milhões,Desenvolvimento e licenciamento de programas de computador não-customizáveis,211,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Human Resources'],,,,
Vertex,VERTEX INDUSTRIA E COMERCIO LTDA,88.617.493/0001-54,"20,000.00",Até 100 mil,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,119,51–200,Rio de Janeiro,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Sales and Business Development'],,,,
Porto,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,61.198.164/0001-60,"3,810,299,505.14",Acima de 1 bilhão,Sociedade seguradora de seguros não vida,22175,+10000,"Sao Paulo, SP",[{'job_industry_list': {'industry': 'Insurance'}}],['Sales and Business Development'],,,,
Crefaz,CREFAZ SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE S.A.,18.188.384/0001-83,"8,500,000.00",1 – 10 milhões,Sociedades de crédito ao microempreendedor,1026,1001-5000,"Maringá, Paraná",[{'job_industry_list': {'industry': 'Financial Services'}}],['Human Resources'],,,,
ZENVIA,ZENVIA MOBILE SERVICOS DIGITAIS S.A.,14.096.190/0001-05,"1,155,607,339.95",Acima de 1 bilhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,857,501–1000,"Sao Paulo, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Information Technology'],,,,
Spicy retail,M. SHOP COMERCIAL LTDA,01.490.698/0001-33,"68,322,653.00",10 – 100 milhões,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,198,51–200,,[{'job_industry_list': {'industry': 'Wholesale'}}],['Management and Manufacturing'],,,,
Bambuí,BAMBUI EMPREENDIMENTOS LTDA,10.871.039/0001-38,"10,729,912.00",10 – 100 milhões,Incorporação de empreendimentos imobiliários,227,201–500,"Goiânia, Goiás",[{'job_industry_list': {'industry': 'Construction'}}],['Marketing'],,,,
Daki,SUPERMERCADO DAKI LTDA,12.607.971/0001-83,"100,000.00",Até 100 mil,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",979,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Food and Beverage Services'}}],['Sales and Business Development'],,,,
Unit,SOCIEDADE DE EDUCACAO TIRADENTES S.A,13.013.263/0001-87,"65,890,747.17",10 – 100 milhões,Educação superior - graduação e pós-graduação,164,51–200,"Vitória, Espirito Santo",[{'job_industry_list': {'industry': 'Financial Services'}}],[],,,,
ília,ILIA DIGITAL S.A,17.653.740/0001-20,"15,007,498.00",10 – 100 milhões,Consultoria em tecnologia da informação,429,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Engineering and Information Technology'],,,,
Egis,EGIS - ENGENHARIA E CONSULTORIA LTDA.,44.239.135/0005-03,"98,461,916.00",10 – 100 milhões,Serviços de engenharia,13160,+10000,Saint-Quentin-en-Yvelines,[{'job_industry_list': {'industry': 'Civil Engineering'}}],['Administrative'],,,,
Kiss New York,IMBECOR PRODUTOS DE BELEZA LTDA.,11.235.228/0001-87,"41,500,649.00",10 – 100 milhões,Comércio atacadista de cosméticos e produtos de perfumaria,254,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Wholesale'}}],['Quality Assurance'],,,,
Somvibe,SOM VIBE MUSIC BUSINESS LTDA,56.058.087/0001-02,"1,000,000.00",100 mil – 1 milhão,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",12,11–50,,[{'job_industry_list': {'industry': 'Musicians'}}],['Sales and Business Development'],,,,
minu.co,MINUTRADE PARTICIPACOES S.A.,08.700.617/0001-21,"3,562,456.00",1 – 10 milhões,Holdings de instituições não-financeiras,174,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Advertising Services'}}],['Information Technology'],,,,
Heating Cooling,HEATING E COOLING TECNOLOGIA TERMICA LTDA,44.124.899/0001-20,"31,965,416.00",10 – 100 milhões,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",888,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Industrial Machinery Manufacturing'}}],['Management and Manufacturing'],,,,
Controller,CONTROLLER - CONTADORES ASSOCIADOS LTDA,25.035.315/0001-03,"200,000.00",100 mil – 1 milhão,Atividades de contabilidade,114,51–200,"Fortaleza, CE",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Other'],,,,
Biscoitê,BISCOITE LTDA,35.689.008/0001-91,"50,000.00",Até 100 mil,Fabricação de biscoitos e bolachas,203,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],['Finance and Sales'],,,,
Soon,SOON PRODUTOS ALIMENTICIOS LTDA,57.244.786/0001-00,"10,000.00",Até 100 mil,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,88,51–200,"São Paulo, São Paulo","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",['Management and Manufacturing'],,,,
Premium Essential Kitchen,PRONUTRI PREMIUM REFEICOES LTDA.,17.176.079/0001-09,"195,000.00",100 mil – 1 milhão,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",395,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Administrative'],,,,
Polo Films,POLO FILMS INDUSTRIA E COMERCIO S/A,26.051.817/0001-82,"651,030.00",100 mil – 1 milhão,Fabricação de embalagens de material plástico,333,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Plastics Manufacturing'}}],['Other'],,,,
Hotel Emiliano,EMILIANO EMPREENDIMENTOS E PARTICIPACOES HOTELEIRAS SOCIEDADE LTDA.,04.433.548/0001-86,"673,112.00",100 mil – 1 milhão,Hotéis,604,501–1000,,[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Management and Manufacturing'],,,,
Ala Serviços,ALA HOLDING LTDA,96.477.930/0001-00,"23,015,000.00",10 – 100 milhões,Compra e venda de imóveis próprios,174,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Management and Manufacturing'],,,,
Consolare,CONSOLARE CONCESSIONARIA DE CEMITERIOS E SERVICOS FUNERARIOS SPE SA,44.615.216/0001-37,"79,000,000.00",10 – 100 milhões,Serviços de funerárias,125,51–200,"São Paulo, SP",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],['Other'],,,,
Nomad,NOMAD TECNOLOGIA E PARTICIPACOES LTDA.,34.662.852/0001-66,"376,506,514.00",100 milhões – 1 bilhão,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",939,501–1000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Financial Services'}}],"['Product Management, Design, and Business Development']",,,,
Dotz,DOTZ S.A.,18.174.270/0001-84,"204,390,388.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,353,201–500,,"[{'job_industry_list': {'industry': 'Technology, Information and Internet'}}]",['Marketing'],,,,
