Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Nater Coop,COOPERATIVA AGROPECUARIA CENTRO SERRANA,27.942.085/0001-83,"35,151,370.63",10 – 100 milhões,Comércio varejista de outros produtos não especificados anteriormente,593.00,501–1000,"Santa Maria de Jetibá, Espírito Santo",[{'job_industry_list': {'industry': 'Business Consulting and Services'}}],https://www.linkedin.com/company/natercoop,['Management and Manufacturing'],Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,3,Fabricação de cimento,1
Get Atende,GNXT SERVICOS DE ATENDIMENTO LTDA,44.840.178/0001-16,"20,000,000.00",10 – 100 milhões,Atividades de teleatendimento,500.00,201–500,"Campo Bom, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/getatende,['Other'],"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",3,Serviços de pré-impressão,1
CentralAr.com,RIQUENA NETO AR CONDICIONADO LTDA,08.382.929/0001-34,"9,448,419.00",1 – 10 milhões,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,205.00,201–500,"Araçatuba, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/centralarcom,['Other'],Consultoria em tecnologia da informação,7,Atividades veterinárias,1
inpEV,INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBALAGENS VAZIAS - INPEV,04.875.587/0001-33,0.00,Até 100 mil,Atividades de organizações associativas patronais e empresariais,214.00,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/inpevbrasil,['Other'],"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",1,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",1
Araguaia,ARAGUAIA S.A.,03.306.578/0001-69,"370,483,000.00",100 milhões – 1 bilhão,"Fabricação de adubos e fertilizantes, exceto organo-minerais","2,992.00",1001-5000,"Anápolis, Goiás",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/araguaia,['Other'],Fabricação de rolamentos para fins industriais,1,Cooperativas centrais de crédito,1
LIDERBAN.,LIDERBAN LOCACAO E SERVICO LTDA,08.084.068/0001-08,"500,000.00",100 mil – 1 milhão,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",111.00,51–200,"Contagem, Minas Gerais","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",https://www.linkedin.com/company/liderban,['Other'],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",2,Fabricação de laticínios,1
FTD Educação,EDITORA FTD S A,61.186.490/0001-57,"400,000,000.00",100 milhões – 1 bilhão,Edição integrada à impressão de livros,"2,515.00",1001-5000,São Paulo,[{'job_industry_list': {'industry': 'Education Administration Programs'}}],https://www.linkedin.com/company/ftdeducacao,['Other'],"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",2,Moagem de trigo e fabricação de derivados,1
Magna,MAGNA DO BRASIL PRODUTOS E SERVICOS AUTOMOTIVOS LTDA,00.970.934/0001-56,"337,562,554.50",100 milhões – 1 bilhão,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,27.00,11–50,"New York, NY",[{'job_industry_list': {'industry': 'Manufacturing'}}],https://www.linkedin.com/company/magnatokens,"['Marketing, Public Relations, and Writing/Editing']",Comércio atacadista de carnes bovinas e suínas e derivados,1,Comércio varejista de outros produtos não especificados anteriormente,1
PremieRpet,PREMIER PET COMERCIAL LTDA,11.462.614/0001-01,"137,500.00",100 mil – 1 milhão,Comércio atacadista de alimentos para animais,"2,122.00",1001-5000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],https://www.linkedin.com/company/premierpet,['Other'],"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",1,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",1
Adimax,ADIMAX - INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.,03.887.324/0001-81,"27,000,000.00",10 – 100 milhões,Fabricação de alimentos para animais,"2,088.00",1001-5000,"Salto de Pirapora, São Paulo",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],https://www.linkedin.com/company/adimax,['Other'],Fabricação de calçados de couro,1,Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente,1
Live One Trade Marketing,LIVE ONE TRADE MARKETING LTDA,26.181.137/0001-83,"1,000,000.00",100 mil – 1 milhão,Agências de publicidade,747.00,501–1000,"Campinas, São Paulo",[{'job_industry_list': {'industry': 'Advertising Services'}}],https://www.linkedin.com/company/liveonetrade,['Sales and Business Development'],Fabricação de artefatos de material plástico para uso pessoal e doméstico,1,Comércio atacadista de alimentos para animais,1
AFPESP,ASSOCIACAO DOS FUNCIONARIOS PUBLICOS ESTADO SAO PAULO,62.149.000/0001-05,0.00,Até 100 mil,Atividades de associações de defesa de direitos sociais,788.00,501–1000,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],https://www.linkedin.com/company/afpesp,['Other'],Hotéis,2,Atividades de associações de defesa de direitos sociais,1
Rede Gazeta,REDE GAZETA DE COMUNICACAO LTDA,28.333.531/0001-15,"94,000.00",Até 100 mil,Edição integrada à impressão de jornais diários,634.00,501–1000,"Vitória, Espírito Santo",[{'job_industry_list': {'industry': 'Public Relations and Communications Services'}}],https://www.linkedin.com/company/rede-gazeta,['Other'],"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",4,Edição integrada à impressão de jornais diários,1
Solinftec,TECSOIL AUTOMACAO E SISTEMAS S.A,12.456.606/0001-15,"318,882,056.15",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,829.00,501–1000,"Araçatuba, SP",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/solinftec,['Other'],Desenvolvimento de programas de computador sob encomenda,8,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",1
Cyncly,PROMOB SOFTWARES S.A.,00.141.463/0001-73,"136,654,914.00",100 milhões – 1 bilhão,Desenvolvimento e licenciamento de programas de computador customizáveis,"3,553.00",1001-5000,,[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/cyncly,['Information Technology'],Gestão de ativos intangíveis não-financeiros,1,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",1
Mundiale,PSP INTERMEDIACAO DE SERVICOS LTDA,17.082.481/0001-24,"33,411,400.00",10 – 100 milhões,Atividades de teleatendimento,968.00,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/mundiale,['Other'],Corretagem na compra e venda e avaliação de imóveis,1,Fabricação de rolamentos para fins industriais,1
Onfly,ONFLY TECNOLOGIA LTDA,30.342.266/0001-83,"25,299,885.29",10 – 100 milhões,Agências de viagens,638.00,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/onfly,['Other'],********,254,Comércio atacadista de carnes bovinas e suínas e derivados,1
Rodonaves,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,44.914.992/0001-38,"12,000,000.00",10 – 100 milhões,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","5,042.00",5001-10000,"Ribeirão Preto, São Paulo",[{'job_industry_list': {'industry': 'Truck Transportation'}}],https://www.linkedin.com/company/rodonaves,['Other'],Promoção de vendas,2,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",1
Lhg Mining,LHG MINING LTDA,45.841.635/0001-50,"1,567,813,316.00",Acima de 1 bilhão,Holdings de instituições não-financeiras,924.00,501–1000,"Corumbá, MS",[{'job_industry_list': {'industry': 'Mining'}}],https://www.linkedin.com/company/lhgmining,['Other'],Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,1,Fabricação de calçados de couro,1
OU,R.BRANDS LTDA,13.992.333/0001-96,"2,780,000.00",1 – 10 milhões,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",305.00,201–500,"Caxias do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Design Services'}}],https://www.linkedin.com/company/ou-martiplast,['Other'],Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,1,Fabricação de artefatos de material plástico para uso pessoal e doméstico,1
Tripla,TRIPLA SERVICES LTDA,24.042.686/0001-41,"100,000.00",Até 100 mil,Comércio varejista especializado de equipamentos e suprimentos de informática,183.00,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/triplait,['Other'],Fabricação de peças e acessórios para o sistema motor de veículos automotores,1,Gestão de ativos intangíveis não-financeiros,1
DM,DM INSTITUICAO DE PAGAMENTO S.A.,16.581.207/0001-37,"195,200,000.00",100 milhões – 1 bilhão,Administração de cartões de crédito,"3,124.00",1001-5000,"São José dos Campos, SP",[{'job_industry_list': {'industry': 'Banking'}}],https://www.linkedin.com/company/vocedm,['Other'],"Agenciamento de profissionais para atividades esportivas, culturais e artísticas",1,Corretagem na compra e venda e avaliação de imóveis,1
WeON,WEON TELECOMUNICACOES LTDA.,10.614.585/0001-93,"32,000.00",Até 100 mil,Comércio varejista especializado de equipamentos de telefonia e comunicação,53.00,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/weon,['Engineering and Information Technology'],"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",1,Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente,1
Super Globo,SUPER GLOBO QUIMICA LTDA EM RECUPERACAO JUDICIAL,21.882.648/0001-09,"300,000.00",100 mil – 1 milhão,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,182.00,51–200,,[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],https://www.linkedin.com/company/super-globo-quimica,['Business Development and Sales'],"Comércio atacadista de sementes, flores, plantas e gramas",1,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,1
Jservice Automação,JSERVICE FABRICACAO E AUTOMACAO INDUSTRIAL LTDA,21.882.648/0001-09,"100,000.00",Até 100 mil,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,1.00,0–10,,"[{'job_industry_list': {'industry': 'Appliances, Electrical, and Electronics Manufacturing'}}]",https://www.linkedin.com/company/jservice-automa%c3%a7%c3%a3o,['Management and Manufacturing'],Loteamento de imóveis próprios,1,Fabricação de peças e acessórios para o sistema motor de veículos automotores,1
Telgo Telecom,DOZONO E COSTA TELECOMUNICACOES LTDA,22.870.099/0001-15,"20,000.00",Até 100 mil,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",82.00,51–200,"Anápolis, Goias",[{'job_industry_list': {'industry': 'Telecommunications'}}],https://www.linkedin.com/company/telgo-telecom,['Engineering and Information Technology'],Fabricação de cal e gesso,1,"Agenciamento de profissionais para atividades esportivas, culturais e artísticas",1
Gerais Hospitalar,GERAIS EMPREENDIMENTOS HOSPITALARES LTDA,25.456.112/0001-82,"230,000.00",100 mil – 1 milhão,"Comércio atacadista de cerveja, chope e refrigerante",84.00,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Wellness and Fitness Services'}}],https://www.linkedin.com/company/geraishospitalar,['Other'],"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",2,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",1
Menegazzo Ambev,DISTRIBUIDORA MENEGAZZO LTDA,23.002.548/0001-76,"8,250,000.00",1 – 10 milhões,Atividades de contabilidade,196.00,51–200,"Avaré, São Paulo",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/menegazzoambev,['Other'],Comércio a varejo de pneumáticos e câmaras-de-ar,1,"Comércio atacadista de sementes, flores, plantas e gramas",1
Pronta Serviços Contábeis,PRONTA SERVICOS CONTABEIS S/S,11.132.706/0001-23,"10,000.00",Até 100 mil,Comércio por atacado de peças e acessórios novos para veículos automotores,43.00,11–50,"Florianópolis, SC",[{'job_industry_list': {'industry': 'Accounting'}}],https://www.linkedin.com/company/prontasc,['Finance'],"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",1,Loteamento de imóveis próprios,1
Leão Diesel,LEAO DIESEL LTDA,78.592.532/0001-52,"30,352,600.00",10 – 100 milhões,Construção de edifícios,279.00,201–500,,[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],https://www.linkedin.com/company/le-o-diesel,['Sales'],"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",1,Fabricação de cal e gesso,1
VIC Engenharia,VIC ENGENHARIA S/A,12.086.678/0001-18,"21,200,000.00",10 – 100 milhões,Consultoria em tecnologia da informação,560.00,501–1000,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Civil Engineering'}}],https://www.linkedin.com/company/vic-engenharia,['Human Resources'],Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,2,Comércio a varejo de pneumáticos e câmaras-de-ar,1
Aiko,AIKO LOGIC BRASIL TECNOLOGIA E SISTEMAS LTDA,23.750.422/0001-80,"1,100,000.00",1 – 10 milhões,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários",137.00,51–200,"Belo Horizonte, Minas Gerais",[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/aiko-brasil,"['Health Care Provider', 'Engineering and Information Technology', 'Management and Manufacturing']",Comércio atacadista de produtos alimentícios em geral,1,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",1
CAMDA - Cooperativa Agropecuária,COOPERATIVA AGRICOLA MISTA DE ADAMANTINA,43.001.981/0001-02,0.00,Até 100 mil,Fabricação de rolamentos para fins industriais,495.00,201–500,,[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/camdaoficial,['Sales and Business Development'],Atividades de apoio à agricultura não especificadas anteriormente,1,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",1
thyssenkrupp,THYSSENKRUPP BRASIL LTDA.,47.366.273/0001-18,0.00,Até 100 mil,Serviços advocatícios,"37,948.00",+10000,Essen,[{'job_industry_list': {'industry': 'Automation Machinery Manufacturing'}}],https://www.linkedin.com/company/thyssenkrupp,['Other'],Fabricação de defensivos agrícolas,2,Comércio atacadista de produtos alimentícios em geral,1
Oliveira & Antunes Advogados,OLIVEIRA & ANTUNES ADVOGADOS ASSOCIADOS,02.416.159/0001-17,"750,000.00",100 mil – 1 milhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",528.00,501–1000,"Blumenau, Santa Catarina",[{'job_industry_list': {'industry': 'Legal Services'}}],https://www.linkedin.com/company/oliveira-antunes,['Sales and Management'],Geração de energia elétrica,1,Atividades de apoio à agricultura não especificadas anteriormente,1
Havan,HAVAN S.A,79.379.491/0001-83,"700,000,000.00",100 milhões – 1 bilhão,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários","18,382.00",+10000,"Brusque, SC",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/havanoficial,['Other'],Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,1,Geração de energia elétrica,1
CredAluga,CREDALUGA LTDA,46.361.179/0001-03,"400,000.00",100 mil – 1 milhão,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",117.00,51–200,"Alphaville, São Paulo",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/credaluga,['Management and Manufacturing'],"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",1,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,1
Confiança Supermercados,JAD ZOGHEIB & CIA LTDA,53.045.266/0001-17,"10,000,000.00",1 – 10 milhões,Comércio atacadista de carnes bovinas e suínas e derivados,"2,688.00",1001-5000,"Bauru, São Paulo",[{'job_industry_list': {'industry': 'Retail Groceries'}}],https://www.linkedin.com/company/redeconfianca,['Management and Manufacturing'],"Emissão de vales-alimentação, vales-transporte e similares",1,"Fabricação de instrumentos não eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório",1
Delly's,OESA COMERCIO E REPRESENTACOES S/A,81.611.931/0001-28,"840,892,078.18",100 milhões – 1 bilhão,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","1,684.00",1001-5000,"Jaraguá do Sul, SC",[{'job_industry_list': {'industry': 'Wholesale'}}],https://www.linkedin.com/company/dellys-food-service,['Management and Manufacturing'],Educação superior - graduação e pós-graduação,2,"Emissão de vales-alimentação, vales-transporte e similares",1
Thérapi,THERAPI PRODUTOS PARA SAUDE E BEM ESTAR LTDA,52.906.753/0001-64,"100,000.00",Até 100 mil,Holdings de instituições não-financeiras,88.00,51–200,"Arroio Do Meio, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Retail Health and Personal Care Products'}}],https://www.linkedin.com/company/therapioficial,['Production'],,,,
Aviva,AVIVA PARTICIPACOES LTDA,47.630.117/0001-12,"100,000.00",Até 100 mil,Holdings de instituições não-financeiras,"1,173.00",1001-5000,"RIO QUENTE , GOIAS",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],https://www.linkedin.com/company/avivadestinos,['Other'],"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",,"Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos",
Terral Energia,TERRAL ENERGIA LTDA,13.098.848/0001-47,"179,732,823.00",100 milhões – 1 bilhão,Fabricação de calçados de couro,34.00,11–50,"Goiânia, Goiás",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/terralenergia,['Other'],Corretoras de títulos e valores mobiliários,,Corretoras de títulos e valores mobiliários,
FCC,FCC - INDUSTRIA E COMERCIO LTDA.,03.281.950/0001-20,"7,330,000.00",1 – 10 milhões,Holdings de instituições não-financeiras,"1,814.00",1001-5000,"Campo Bom, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Chemical Manufacturing'}}],https://www.linkedin.com/company/grupofcc,['Other'],"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",,"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",
Bioo,BIOO INVESTIMENTOS E PARTICIPACOES S.A.,54.176.984/0001-95,"77,412,468.00",10 – 100 milhões,Fabricação de artefatos de material plástico para uso pessoal e doméstico,48.00,11–50,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Consumer Services'}}],https://www.linkedin.com/company/bioobr,['Other'],Fabricação de caminhões e ônibus,,Fabricação de caminhões e ônibus,
ASTRA,ASTRA S A INDUSTRIA E COMERCIO,50.949.528/0001-80,"27,957,736.00",10 – 100 milhões,Hotéis,"2,620.00",1001-5000,"Jundiaí, São Paulo",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/astraoficialbr,['Other'],Outras atividades de recreação e lazer não especificadas anteriormente,,Outras atividades de recreação e lazer não especificadas anteriormente,
Atlantica Hotels International,ATLANTICA HOTELS INTERNATIONAL BRASIL LTDA,02.223.966/0001-13,"13,110,198.00",10 – 100 milhões,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","1,921.00",1001-5000,"Barueri, São Paulo",[{'job_industry_list': {'industry': 'Travel Arrangements'}}],https://www.linkedin.com/company/atlanticahospitalityinternational,['Other'],"Fabricação de aparelhos e equipamentos de medida, teste e controle",,"Fabricação de aparelhos e equipamentos de medida, teste e controle",
Leads2b,LEADS2B S/A,11.378.117/0001-20,"218,878.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,77.00,51–200,"Curitiba, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/leads2b,['Other'],Serviços de engenharia,,Serviços de engenharia,
Shift,SHIFT CONSULTORIA E SISTEMAS LTDA,67.190.660/0001-53,"150,000.00",100 mil – 1 milhão,Holdings de instituições não-financeiras,328.00,201–500,"São José do Rio Preto, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/shift-pulsa-pela-vida,['Other'],"Produção de laminados longos de aço, exceto tubos",,"Produção de laminados longos de aço, exceto tubos",
Argenta,ARGENTA PARTICIPACOES LTDA,46.437.611/0001-00,"172,011,000.00",100 milhões – 1 bilhão,Desenvolvimento de programas de computador sob encomenda,"2,406.00",1001-5000,"Flores da Cunha, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/grupoargenta,['Other'],Serviços de comunicação multimídia - SCM,,Serviços de comunicação multimídia - SCM,
Zallpy Digital,ZALLPY SOFTWARE LTDA,11.174.360/0001-26,"390,000.00",100 mil – 1 milhão,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",539.00,501–1000,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/zallpy-digital,['Purchasing and Supply Chain'],Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,,Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,
Rovitex,ROVITEX IND E COM DE MALHAS LTDA,79.233.672/0001-05,"344,419,788.51",100 milhões – 1 bilhão,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","1,382.00",1001-5000,"Luís Alves, SC",[{'job_industry_list': {'industry': 'Textile Manufacturing'}}],https://www.linkedin.com/company/rovitex,['Marketing and Sales'],Outras atividades de ensino não especificadas anteriormente,,Outras atividades de ensino não especificadas anteriormente,
CTN Transportes,CTN TRANSPORTES LTDA,77.886.398/0001-30,"1,000,000.00",100 mil – 1 milhão,Gestão de ativos intangíveis não-financeiros,22.00,11–50,"Dionísio Cerqueira, Santa Catarina","[{'job_industry_list': {'industry': 'Transportation, Logistics, Supply Chain and Storage'}}]",https://www.linkedin.com/company/ctntransportes,['Human Resources'],"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",
MoveEdu,MOVEEDU INOVACAO E EDUCACAO LTDA,01.633.121/0001-33,"12,772,877.00",10 – 100 milhões,Atividades de organizações associativas patronais e empresariais,170.00,51–200,"São José do Rio Preto, São Paulo",[{'job_industry_list': {'industry': 'Education Administration Programs'}}],https://www.linkedin.com/company/moveedu,['Administrative'],Comércio varejista de material elétrico,,Comércio varejista de material elétrico,
CDL Empregos,FEDERACAO DAS CAMARAS DE DIRIGENTES LOJISTAS DE SC,82.895.970/0001-67,0.00,Até 100 mil,Agências de viagens,Não encontrado,+10000,,[{'job_industry_list': {'industry': 'Human Resources Services'}}],https://www.linkedin.com/company/cdlcaxias-empregos,['Sales and Business Development'],Fabricação de embalagens de material plástico,,Fabricação de embalagens de material plástico,
Rentcars,RENTCARS LTDA,10.998.234/0001-23,"99,800.00",Até 100 mil,Desenvolvimento e licenciamento de programas de computador não-customizáveis,370.00,201–500,Amsterdam,[{'job_industry_list': {'industry': 'Travel Arrangements'}}],https://www.linkedin.com/company/rentcars,['Legal'],"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",
Qive,ARQUIVEI SERVICOS ON LINE LTDA,19.427.033/0001-40,"227,850,234.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,394.00,201–500,"São Carlos, São Paulo",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/qive,['Sales and Business Development'],Correspondentes de instituições financeiras,,Correspondentes de instituições financeiras,
Zucchi Luxury Stones,ZUCCHI PARTICIPACOES S/A,13.808.776/0001-84,"15,994,650.00",10 – 100 milhões,Holdings de instituições não-financeiras,208.00,201–500,"Serra, Espírito Santo",[{'job_industry_list': {'industry': 'Wholesale Import and Export'}}],https://www.linkedin.com/company/zucchistones,['Production'],Fabricação de medicamentos alopáticos para uso humano,,Fabricação de medicamentos alopáticos para uso humano,
Corebiz,COREBIZ PARTICIPACOES LTDA.,31.392.778/0001-17,"9,358,247.00",1 – 10 milhões,Consultoria em tecnologia da informação,444.00,201–500,"Barueri, SP",[{'job_industry_list': {'industry': 'Advertising Services'}}],https://www.linkedin.com/company/corebiz-brasil,['Information Technology'],"Fabricação de tintas, vernizes, esmaltes e lacas",,"Fabricação de tintas, vernizes, esmaltes e lacas",
EVT,EVOLUTION IT SERVICES LTDA,03.244.339/0001-21,"2,000,000.00",1 – 10 milhões,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",329.00,201–500,"São Paulo, SP",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/evtit,['Engineering and Information Technology'],Fabricação de outros produtos alimentícios não especificados anteriormente,,Fabricação de outros produtos alimentícios não especificados anteriormente,
Trizy by nstech,TRIZY TECNOLOGIA EM LOGISTICA LTDA.,28.556.723/0001-90,"107,571,142.00",100 milhões – 1 bilhão,Fabricação de outros produtos de metal não especificados anteriormente,114.00,51–200,"Ponta Grossa, Paraná",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],https://www.linkedin.com/company/apptrizy,['Human Resources'],Atividades de apoio à extração de petróleo e gás natural,,Atividades de apoio à extração de petróleo e gás natural,
Isoeste Metálica,ISOESTE METALICA INDUSTRIA E COMERCIO LTDA,37.249.299/0001-22,"70,525,000.00",10 – 100 milhões,Corretagem na compra e venda e avaliação de imóveis,196.00,51–200,"Anápolis, Goiás",[{'job_industry_list': {'industry': 'Construction'}}],https://www.linkedin.com/company/isoeste-met%c3%a1lica,['Engineering and Information Technology'],Fabricação de produtos diversos não especificados anteriormente,,Fabricação de produtos diversos não especificados anteriormente,
Casa Imóveis,CASA IMOVEIS LTDA,01.233.796/0001-95,0.00,Até 100 mil,********,102.00,51–200,"Chapecó, SC",[{'job_industry_list': {'industry': 'Real Estate'}}],https://www.linkedin.com/company/imobili%c3%a1riacasaim%c3%b3veis,['Administrative'],Comércio atacadista de produtos odontológicos,,Comércio atacadista de produtos odontológicos,
CP Rocco,ROCCO & ROCCO LTDA,77.747.400/0001-90,0.00,Até 100 mil,Desenvolvimento e licenciamento de programas de computador customizáveis,23.00,11–50,"São José dos Pinhais, Paraná",[{'job_industry_list': {'industry': 'Retail Health and Personal Care Products'}}],https://www.linkedin.com/company/cp-rocco,['Health Care Provider'],Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,
EMPREGARE.com,HERO TECNOLOGIA LTDA,23.073.946/0001-83,"460,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,18.00,11–50,,[{'job_industry_list': {'industry': 'Software Development'}}],https://www.linkedin.com/company/empregare-com,['Management and Manufacturing'],Atividades de apoio à gestão de saúde,,Atividades de apoio à gestão de saúde,
